Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2014-05-21,6301.0,6031.0,6391.0,5941.0,1950000.0,2.94,AGR,Agribank
2014-05-22,6031.0,6211.0,6391.0,5941.0,1960000.0,-4.29,AGR,Agribank
2014-05-23,5941.0,6031.0,6121.0,5851.0,1010000.0,-1.49,AGR,Agribank
2014-05-26,6301.0,5941.0,6301.0,5760.9,1110000.0,6.06,AGR,Agribank
2014-05-27,6571.1,6391.0,6661.1,6301.0,2200000.0,4.29,AGR,Agribank
2014-05-28,6647.0,6742.0,6931.9,6552.1,1040000.0,1.16,AGR,Agribank
2014-05-29,6362.2,6552.1,6742.0,6362.2,1090000.0,-4.28,AGR,Agribank
2014-05-30,6267.2,6362.2,6552.1,6267.2,796630.0,-1.49,AGR,Agribank
2014-06-02,5982.3,6267.2,6362.2,5982.3,1290000.0,-4.55,AGR,Agribank
2014-06-03,6172.3,6077.3,6267.2,5982.3,288070.0,3.18,AGR,Agribank
2014-06-04,5982.3,6172.3,6172.3,5887.4,501820.0,-3.08,AGR,Agribank
2014-06-05,6077.3,5982.3,6172.3,5792.4,394490.0,1.59,AGR,Agribank
2014-06-06,6457.1,6172.3,6457.1,6172.3,1010000.0,6.25,AGR,Agribank
2014-06-09,6837.0,6742.0,6837.0,6552.1,2740000.0,5.88,AGR,Agribank
2014-06-10,6362.2,6647.0,6742.0,6362.2,1270000.0,-6.94,AGR,Agribank
2014-06-11,6647.0,6362.2,6647.0,6362.2,783040.0,4.48,AGR,Agribank
2014-06-12,6552.1,6647.0,6742.0,6457.1,585460.0,-1.43,AGR,Agribank
2014-06-13,6457.1,6457.1,6552.1,6457.1,904490.0,-1.45,AGR,Agribank
2014-06-16,6552.1,6552.1,6742.0,6457.1,508660.0,1.47,AGR,Agribank
2014-06-17,6742.0,6552.1,6837.0,6552.1,1680000.0,2.9,AGR,Agribank
2014-06-18,6647.0,6742.0,6931.9,6552.1,683070.0,-1.41,AGR,Agribank
2014-06-19,6457.1,6457.1,6647.0,6267.2,1650000.0,-2.86,AGR,Agribank
2014-06-20,6457.1,6552.1,6647.0,6457.1,966900.0,0.0,AGR,Agribank
2014-06-23,6457.1,6457.1,6552.1,6362.2,444730.0,0.0,AGR,Agribank
2014-06-24,6552.1,6457.1,6552.1,6362.2,631070.0,1.47,AGR,Agribank
2014-06-25,6742.0,6552.1,6837.0,6552.1,1250000.0,2.9,AGR,Agribank
2014-06-26,6647.0,6742.0,6837.0,6647.0,685480.0,-1.41,AGR,Agribank
2014-06-27,6647.0,6647.0,6742.0,6552.1,384760.0,0.0,AGR,Agribank
2014-06-30,6647.0,6647.0,6742.0,6552.1,1080000.0,0.0,AGR,Agribank
2014-07-01,7026.9,6647.0,7026.9,6647.0,4410000.0,5.72,AGR,Agribank
2014-07-02,7121.8,7026.9,7216.8,7026.9,1200000.0,1.35,AGR,Agribank
2014-07-03,7311.7,7216.8,7406.7,7121.8,1120000.0,2.67,AGR,Agribank
2014-07-04,7311.7,7311.7,7406.7,7121.8,1310000.0,0.0,AGR,Agribank
2014-07-07,7406.7,7311.7,7501.7,7216.8,1610000.0,1.3,AGR,Agribank
2014-07-08,7406.7,7406.7,7406.7,7216.8,979690.0,0.0,AGR,Agribank
2014-07-09,7311.7,7406.7,7406.7,7311.7,1210000.0,-1.28,AGR,Agribank
2014-07-10,7026.9,7311.7,7311.7,6931.9,2060000.0,-3.9,AGR,Agribank
2014-07-11,7121.8,7026.9,7216.8,6931.9,811380.0,1.35,AGR,Agribank
2014-07-14,7216.8,7216.8,7311.7,7121.8,748510.0,1.33,AGR,Agribank
2014-07-15,7216.8,7311.7,7406.7,7216.8,780710.0,0.0,AGR,Agribank
2014-07-16,6837.0,7406.7,7501.7,6742.0,6110000.0,-5.26,AGR,Agribank
2014-07-17,6837.0,6742.0,6931.9,6647.0,1260000.0,0.0,AGR,Agribank
2014-07-18,7026.9,6837.0,7026.9,6837.0,624010.0,2.78,AGR,Agribank
2014-07-21,6742.0,6931.9,7026.9,6647.0,1130000.0,-4.05,AGR,Agribank
2014-07-22,6647.0,6647.0,6837.0,6647.0,1110000.0,-1.41,AGR,Agribank
2014-07-23,6742.0,6647.0,6837.0,6647.0,428970.0,1.43,AGR,Agribank
2014-07-24,6742.0,6742.0,6837.0,6647.0,440120.0,0.0,AGR,Agribank
2014-07-25,6692.8,6791.2,6889.6,6692.8,1130000.0,-0.73,AGR,Agribank
2014-07-28,6397.5,6692.8,6692.8,6397.5,1000000.0,-4.41,AGR,Agribank
2014-07-29,6397.5,6299.1,6495.9,6299.1,528020.0,0.0,AGR,Agribank
2014-07-30,6299.1,6397.5,6495.9,6299.1,394000.0,-1.54,AGR,Agribank
2014-07-31,6397.5,6299.1,6495.9,6200.7,386860.0,1.56,AGR,Agribank
2014-08-01,6397.5,6397.5,6495.9,6397.5,322960.0,0.0,AGR,Agribank
2014-08-04,6495.9,6299.1,6495.9,6299.1,342390.0,1.54,AGR,Agribank
2014-08-05,6594.4,6495.9,6594.4,6397.5,387720.0,1.52,AGR,Agribank
2014-08-06,6495.9,6495.9,6692.8,6495.9,418710.0,-1.49,AGR,Agribank
2014-08-07,6495.9,6495.9,6495.9,6397.5,304210.0,0.0,AGR,Agribank
2014-08-08,6692.8,6594.4,6791.2,6594.4,1160000.0,3.03,AGR,Agribank
2014-08-11,6692.8,6692.8,6692.8,6594.4,244000.0,0.0,AGR,Agribank
2014-08-12,6495.9,6594.4,6692.8,6495.9,384700.0,-2.94,AGR,Agribank
2014-08-13,6692.8,6495.9,6692.8,6495.9,330830.0,3.03,AGR,Agribank
2014-08-14,6594.4,6692.8,6791.2,6495.9,433230.0,-1.47,AGR,Agribank
2014-08-15,6495.9,6594.4,6594.4,6495.9,503960.0,-1.49,AGR,Agribank
2014-08-18,6692.8,6594.4,6791.2,6495.9,1000000.0,3.03,AGR,Agribank
2014-08-19,6594.4,6692.8,6791.2,6594.4,414180.0,-1.47,AGR,Agribank
2014-08-20,6692.8,6594.4,6692.8,6495.9,341400.0,1.49,AGR,Agribank
2014-08-21,6692.8,6692.8,6889.6,6594.4,1440000.0,0.0,AGR,Agribank
2014-08-22,6692.8,6692.8,6889.6,6692.8,743020.0,0.0,AGR,Agribank
2014-08-25,6889.6,6791.2,6988.1,6791.2,1340000.0,2.94,AGR,Agribank
2014-08-26,6791.2,6889.6,6988.1,6791.2,588300.0,-1.43,AGR,Agribank
2014-08-27,6791.2,6791.2,6889.6,6692.8,537150.0,0.0,AGR,Agribank
2014-08-28,6889.6,6791.2,7086.5,6692.8,1760000.0,1.45,AGR,Agribank
2014-08-29,6988.1,6988.1,7086.5,6889.6,600130.0,1.43,AGR,Agribank
2014-09-03,7283.3,7184.9,7381.7,7184.9,1630000.0,4.22,AGR,Agribank
2014-09-04,7086.5,7184.9,7283.3,6988.1,841930.0,-2.7,AGR,Agribank
2014-09-05,7184.9,7184.9,7283.3,7086.5,973210.0,1.39,AGR,Agribank
2014-09-08,7184.9,7283.3,7283.3,7086.5,768970.0,0.0,AGR,Agribank
2014-09-09,6889.6,7086.5,7381.7,6889.6,2370000.0,-4.11,AGR,Agribank
2014-09-10,7086.5,6889.6,7086.5,6692.8,799520.0,2.86,AGR,Agribank
2014-09-11,7381.7,7184.9,7480.2,7184.9,2029999.9999999998,4.17,AGR,Agribank
2014-09-12,7480.2,7283.3,7480.2,7283.3,1580000.0,1.33,AGR,Agribank
2014-09-15,7283.3,7480.2,7677.0,7283.3,1380000.0,-2.63,AGR,Agribank
2014-09-16,7480.2,7184.9,7480.2,6988.1,1790000.0,2.7,AGR,Agribank
2014-09-17,7972.3,7677.0,7972.3,7677.0,4240000.0,6.58,AGR,Agribank
2014-09-18,7480.2,7873.9,7873.9,7480.2,1860000.0,-6.17,AGR,Agribank
2014-09-19,7578.6,7283.3,7677.0,7283.3,1650000.0,1.32,AGR,Agribank
2014-09-22,7184.9,7480.2,7578.6,7184.9,2230000.0,-5.19,AGR,Agribank
2014-09-23,7283.3,7184.9,7480.2,7086.5,732560.0,1.37,AGR,Agribank
2014-09-24,7283.3,7283.3,7283.3,7086.5,695410.0,0.0,AGR,Agribank
